condition	edge	node	clustering.coef	density
D.Blood.CCR.AL	346	77	0.21645193260654114	0.11825017088174983
D.Blood.ICR.AL	323	78	0.20978062157221206	0.10755910755910757
D.Blood.ICR.CCR	281	73	0.23076923076923078	0.10692541856925418
D.MFP.CCR.AL	290	75	0.20245925078638832	0.1045045045045045
D.MFP.ICR.AL	270	72	0.18122866894197953	0.1056338028169014
D.MFP.ICR.CCR	270	72	0.18122866894197953	0.1056338028169014
D.AL.MFP.Blood	455	94	0.2276673200784094	0.10409517272935254
D.CCR.MFP.Blood	427	93	0.22669789227166276	0.09981299672744273
D.ICR.MFP.Blood	386	87	0.24152301572267476	0.10318096765570703
